"date","currency","rate"
"2018-04-25",602,"61.6201"
"2018-04-25",604,"0.978"
"2018-04-25",605,"108.8348"
"2018-04-25",606,"0.7162"
"2018-04-25",608,"7.8465"
"2018-04-26",600,"1"
"2018-04-26",601,"0.8207"
"2018-04-26",602,"62.1316"
"2018-04-26",604,"0.9837"
"2018-04-26",605,"109.1752"
"2018-04-26",606,"0.7171"
"2018-04-26",608,"7.8478"
"2018-04-27",600,"1"
"2018-04-27",601,"0.8218"
"2018-04-27",602,"62.8722"
"2018-04-27",604,"0.9842"
"2018-04-27",605,"109.1963"
"2018-04-27",606,"0.7158"
"2018-04-27",608,"7.8479"
"2018-04-28",600,"1"
"2018-04-28",601,"0.8285"
"2018-04-28",602,"62.4834"
"2018-04-28",604,"0.9909"
"2018-04-28",605,"109.3206"
"2018-04-28",606,"0.7266"
"2018-04-28",608,"7.8485"
"2018-04-30",600,"1"
"2018-04-30",601,"0.8285"
"2018-04-30",602,"62.4834"
"2018-04-30",604,"0.9909"
"2018-04-30",605,"109.3206"
"2018-04-30",606,"0.7266"
"2018-04-30",608,"7.8485"
"2018-05-01",600,"1"
"2018-05-01",601,"0.8279"
"2018-05-01",602,"62.8849"
"2018-05-01",604,"0.9908"
"2018-05-01",605,"109.3799"
"2018-05-01",606,"0.7282"
"2018-05-01",608,"7.8484"
"2018-05-02",600,"1"
"2018-05-02",601,"0.8279"
"2018-05-02",602,"62.8849"
"2018-05-02",604,"0.9908"
"2018-05-02",605,"109.3799"
"2018-05-02",606,"0.7282"
"2018-05-02",608,"7.8484"
"2018-05-03",600,"1"
"2018-05-03",601,"0.8328"
"2018-05-03",602,"63.6295"
"2018-05-03",604,"0.9958"
"2018-05-03",605,"109.8026"
"2018-05-03",606,"0.7332"
"2018-05-03",608,"7.8496"
"2018-05-04",600,"1"
"2018-05-04",601,"0.8339"
"2018-05-04",602,"63.4485"
"2018-05-04",604,"0.9972"
"2018-05-04",605,"109.2645"
"2018-05-04",606,"0.7353"
"2018-05-04",608,"7.8495"
"2018-05-05",600,"1"
"2018-05-05",601,"0.8355"
"2018-05-05",602,"63.0642"
"2018-05-05",604,"0.9984"
"2018-05-05",605,"108.9231"
"2018-05-05",606,"0.7372"
"2018-05-05",608,"7.8496"
"2018-05-06",600,"1"
"2018-05-06",601,"0.8355"
"2018-05-06",602,"63.0642"
"2018-05-06",604,"0.9984"
"2018-05-06",605,"108.9231"
"2018-05-06",606,"0.7372"
"2018-05-06",608,"7.8496"
"2018-05-07",600,"1"
"2018-05-07",601,"0.8355"
"2018-05-07",602,"63.0642"
"2018-05-07",604,"0.9984"
"2018-05-07",605,"108.9231"
"2018-05-07",606,"0.7372"
"2018-05-07",608,"7.8496"
"2018-05-08",600,"1"
"2018-05-08",601,"0.8402"
"2018-05-08",602,"62.8717"
"2018-05-08",604,"1.0052"
"2018-05-08",605,"109.3514"
"2018-05-08",606,"0.7395"
"2018-05-08",608,"7.8498"
"2018-05-09",600,"1"
"2018-05-09",601,"0.8425"
"2018-05-09",602,"63.2845"
"2018-05-09",604,"1.003"
"2018-05-09",605,"109.0564"
"2018-05-09",606,"0.7408"
"2018-05-09",608,"7.8499"
"2018-05-10",600,"1"
"2018-05-10",601,"0.8418"
"2018-05-10",602,"63.0688"
"2018-05-10",604,"1.0013"
"2018-05-10",605,"109.6389"
"2018-05-10",606,"0.7361"
"2018-05-10",608,"7.8498"
"2018-05-11",600,"1"
"2018-05-11",601,"0.8419"
"2018-05-11",602,"62.0534"
"2018-05-11",604,"1.0025"
"2018-05-11",605,"109.6313"
"2018-05-11",606,"0.7393"
"2018-05-11",608,"7.8499"
"2018-05-14",600,"1"
"2018-05-14",601,"0.8379"
"2018-05-14",602,"61.6477"
"2018-05-14",604,"0.9999"
"2018-05-14",605,"109.3012"
"2018-05-14",606,"0.7374"
"2018-05-14",608,"7.8499"
"2018-05-15",600,"1"
"2018-05-15",601,"0.8342"
"2018-05-15",602,"61.5663"
"2018-05-15",604,"0.9981"
"2018-05-15",605,"109.5012"
"2018-05-15",606,"0.7361"
"2018-05-15",608,"7.8498"
"2018-05-16",600,"1"
"2018-05-16",601,"0.8415"
"2018-05-16",602,"62.124"
"2018-05-16",604,"1.0023"
"2018-05-16",605,"110.048"
"2018-05-16",606,"0.7397"
"2018-05-16",608,"7.8499"
"2018-05-17",600,"1"
"2018-05-17",601,"0.8486"
"2018-05-17",602,"62.4556"
"2018-05-17",604,"1.0007"
"2018-05-17",605,"110.1748"
"2018-05-17",606,"0.7418"
"2018-05-17",608,"7.85"
"2018-05-18",600,"1"
"2018-05-18",601,"0.8471"
"2018-05-18",602,"61.9694"
"2018-05-18",604,"1.0012"
"2018-05-18",605,"110.6819"
"2018-05-18",606,"0.7399"
"2018-05-18",608,"7.8497"
"2018-05-19",600,"1"
"2018-05-19",601,"0.8488"
"2018-05-19",602,"62.1467"
"2018-05-19",604,"0.9993"
"2018-05-19",605,"110.9329"
"2018-05-19",606,"0.7412"
"2018-05-19",608,"7.8499"
"2018-05-21",600,"1"
"2018-05-21",601,"0.8488"
"2018-05-21",602,"62.1467"
"2018-05-21",604,"0.9993"
"2018-05-21",605,"110.9329"
"2018-05-21",606,"0.7412"
"2018-05-21",608,"7.8499"
"2018-05-22",600,"1"
"2018-05-22",601,"0.8504"
"2018-05-22",602,"62.39"
"2018-05-22",604,"0.9995"
"2018-05-22",605,"111.268"
"2018-05-22",606,"0.7453"
"2018-05-22",608,"7.8493"
"2018-05-23",600,"1"
"2018-05-23",601,"0.8479"
"2018-05-23",602,"61.344"
"2018-05-23",604,"0.9953"
"2018-05-23",605,"110.8191"
"2018-05-23",606,"0.7435"
"2018-05-23",608,"7.8485"
"2018-05-24",600,"1"
"2018-05-24",601,"0.8541"
"2018-05-24",602,"61.7222"
"2018-05-24",604,"0.9906"
"2018-05-24",605,"109.848"
"2018-05-24",606,"0.7512"
"2018-05-24",608,"7.8497"
"2018-05-25",600,"1"
"2018-05-25",601,"0.8527"
